date,total num arrivals,total num departures,total num of people making complaints,"total number of all complaints (phone, email, web, letters)"
13th June 2015,650,660,,164
12th June 2015,687,686,,403
11th June 2015,680,682,,326
10th June 2015,684,684,,247
9th June 2015,682,680,,435
8th June 2015,688,687,,452
7th June 2015,681,674,,328
6th June 2015,650,658,,233
5th June 2015,681,682,,359
4th June 2015,683,686,,230
3rd June 2015,683,684,,238
2nd June 2015,666,665,,184
1st June 2015,685,686,,381
31st May 2015,684,673,,268
30th May 2015,644,656,,269
29th May 2015,687,690,,317
28th May 2015,678,681,,262
27th May 2015,677,672,,246
26th May 2015,682,684,,221
25th May 2015,678,677,,234
24th May 2015,669,664,,376
23rd May 2015,648,655,,210
22nd May 2015,687,688,,408
21st May 2015,678,679,,291
20th May 2015,679,679,,251
19th May 2015,649,648,,324
18th May 2015,669,667,,218
17th May 2015,673,666,,264
16th May 2015,641,644,,294
15th May 2015,678,679,,342
14th May 2015,671,674,,207
13th May 2015,680,678,,185
12th May 2015,684,686,,236
11th May 2015,685,678,,196
10th May 2015,667,656,,146
9th May 2015,629,647,,170
8th May 2015,680,675,,493
7th May 2015,661,667,,166
6th May 2015,655,654,,229
5th May 2015,666,664,,199
4th May 2015,683,679,,412
3rd May 2015,667,661,,291
2nd May 2015,635,641,,286
1st May 2015,681,682,,565
30th April 2015,674,678,,291
29th April 2015,672,674,,208
28th April 2015,681,678,,257
27th April 2015,676,675,,399
26th April 2015,673,664,,447
25th April 2015,629,638,,666
24th April 2015,684,684,,324
23rd April 2015,674,674,,227
22nd April 2015,672,672,,237
21st April 2015,676,668,,184
20th April 2015,674,680,,255
19th April 2015,670,660,,296
18th April 2015,635,642,,229
17th April 2015,677,680,,295
16th April 2015,680,677,,458
15th April 2015,669,674,,288
14th April 2015,679,675,,250
13th April 2015,671,676,,257
12th April 2015,673,661,,315
11th April 2015,635,645,,184
10th April 2015,673,677,,313
9th April 2015,644,638,,271
8th April 2015,651,653,,249
7th April 2015,671,672,,288
6th April 2015,660,654,,445
5th April 2015,640,636,,330
4th April 2015,615,625,,184
3rd April 2015,675,669,,286
2nd April 2015,669,670,,272
1st April 2015,665,672,,256
31st March 2015,658,654,,243
30th March 2015,667,669,,256
29th March 2015,653,654,,401
28th March 2015,603,608,,179
27th March 2015,656,654,,300
26th March 2015,650,654,,379
25th March 2015,641,646,,321
24th March 2015,647,642,,400
23rd March 2015,650,646,,273
22nd March 2015,646,637,,483
21st March 2015,592,607,,775
20th March 2015,630,628,,443
19th March 2015,643,648,,306
18th March 2015,620,623,,368
17th March 2015,644,643,,403
16th March 2015,652,639,,470
15th March 2015,642,635,,252
14th March 2015,587,596,,450
13th March 2015,651,656,,458
12th March 2015,646,649,,302
11th March 2015,640,640,,327
10th March 2015,647,645,,278
9th March 2015,645,642,,178
8th March 2015,643,634,,238
7th March 2015,600,611,,128
6th March 2015,666,663,,286
5th March 2015,649,656,,238
4th March 2015,644,649,,315
3rd March 2015,656,650,,240
2nd March 2015,643,638,,284
1st March 2015,647,641,,459
28th February 2015,609,613,,188
27th February 2015,659,665,,357
26th February 2015,651,661,,339
25th February 2015,652,653,,366
24th February 2015,655,646,,271
23rd February 2015,644,644,,256
22nd February 2015,651,639,,246
21st February 2015,585,598,,323
20th February 2015,649,646,,249
19th February 2015,630,639,,187
18th February 2015,627,621,,204
17th February 2015,632,629,,198
16th February 2015,636,638,,324
15th February 2015,632,621,,305
14th February 2015,595,596,,381
13th February 2015,635,645,,334
12th February 2015,635,639,,176
11th February 2015,623,629,,151
10th February 2015,620,619,,175
9th February 2015,636,622,,238
8th February 2015,630,626,,262
7th February 2015,569,577,,176
6th February 2015,639,638,,232
5th February 2015,626,630,,415
4th February 2015,613,616,,310
3rd February 2015,623,613,,308
2nd February 2015,621,622,,246
1st February 2015,631,621,,335
31st January 2015,567,573,,319
30th January 2015,634,642,,306
29th January 2015,633,632,,285
28th January 2015,587,614,,263
27th January 2015,601,592,,254
26th January 2015,630,608,,260
25th January 2015,620,613,,243
24th January 2015,555,558,,249
23rd January 2015,631,637,,244
22nd January 2015,638,641,,201
21st January 2015,614,612,,293
20th January 2015,623,616,,135
19th January 2015,625,628,,221
18th January 2015,622,616,,282
17th January 2015,554,551,,280
16th January 2015,607,610,,344
15th January 2015,602,608,,212
14th January 2015,591,588,,186
13th January 2015,609,604,,231
12th January 2015,610,610,,200
11th January 2015,615,604,,289
10th January 2015,551,562,,200
9th January 2015,604,610,,204
8th January 2015,605,602,,121
7th January 2015,609,606,,188
6th January 2015,615,616,,233
5th January 2015,611,616,,238
4th January 2015,617,608,,216
3rd January 2015,578,582,,273
2nd January 2015,606,607,,220
1st January 2015,503,531,,218
